nama_cpu,brand,harga_cpu,socket
AMD 2650,AMD,59,AM1
AMD 3850,AMD,79,AM1
AMD 5350,AMD,104,AM1
AMD A10-7700K,AMD,547,FM2+
AMD A10-7850K,AMD,273,FM2+
AMD A10-9700,AMD,242,AM4
AMD A10-9700E,AMD,292,AM4
AMD A12-9800E,AMD,177,AM4
AMD A4-3300,AMD,85,FM1
AMD A4-3400,AMD,149,FM1
AMD A4-4000,AMD,139,FM2
AMD A4-5300,AMD,93,FM2
AMD A4-7300,AMD,135,FM2
AMD A6-5400K,AMD,124,FM2
AMD A6-7470K,AMD,105,FM2+
AMD A6-7480,AMD,144,FM2+
AMD A6-9500,AMD,161,AM4
AMD A6-9500E,AMD,196,AM4
AMD A8-6500,AMD,311,FM2
AMD A8-9600,AMD,213,AM4
AMD Athlon 200GE,AMD,110,AM4
AMD Athlon 220GE,AMD,113,AM4
AMD Athlon 240GE,AMD,113,AM4
AMD Athlon II X2 220,AMD,26,AM3
AMD Athlon II X2 240,AMD,29,AM3
AMD Athlon II X2 250,AMD,184,AM3
AMD Athlon II X2 255,AMD,130,AM3
AMD Athlon II X3 435,AMD,159,AM3
AMD Athlon II X4 620,AMD,203,AM3
AMD Athlon II X4 620,AMD,59,AM3
AMD Athlon II X4 630,AMD,91,AM3
AMD Athlon II X4 630,AMD,52,AM3
AMD Athlon II X4 635,AMD,65,AM3
AMD Athlon II X4 640,AMD,64,AM3
AMD Athlon X4 950,AMD,145,AM4
AMD FX-6300,AMD,125,AM3+
AMD FX-8300,AMD,168,AM3+
AMD FX-8320,AMD,179,AM3+
AMD FX-8350,AMD,228,AM3+
AMD FX-8350,AMD,504,AM3+
AMD FX-9370,AMD,753,AM3+
AMD FX-9590,AMD,495,AM3+
AMD Opteron 6320,AMD,269,G34
AMD Opteron 6328,AMD,1818,G34
AMD Opteron 6344,AMD,379,G34
AMD Opteron 6378,AMD,921,G34
AMD Phenom II X2 550 Black,AMD,200,AM3
AMD Phenom II X2 555 Black,AMD,294,AM3
AMD Phenom II X4 820,AMD,74,AM3
AMD Phenom II X4 830,AMD,74,AM3
AMD Phenom II X4 975,AMD,172,AM3
AMD Phenom II X6 1055T,AMD,189,AM3
AMD Phenom II X6 1090T Black,AMD,478,AM3
AMD Ryzen 3 1200 (14nm),AMD,255,AM4
AMD Ryzen 3 1300X,AMD,398,AM4
AMD Ryzen 3 3200G,AMD,174,AM4
AMD Ryzen 5 1400,AMD,463,AM4
AMD Ryzen 5 1500X,AMD,300,AM4
AMD Ryzen 5 1600 (12nm),AMD,149,AM4
AMD Ryzen 5 1600 (14nm),AMD,219,AM4
AMD Ryzen 5 1600X,AMD,315,AM4
