nama_vga,harga_vga
AMD FirePro W7100,387.0
AMD FirePro 2450,98.0
AMD Radeon Pro WX 8200,967.0
AMD Radeon Pro WX 9100,1509.0
AMD Radeon Pro WX 3100,163.0
AMD Radeon Pro WX 2100,129.0
AMD Radeon Pro Duo Polaris,2619.0
AMD Vega Frontier Edition Liquid,1699.0
AMD Radeon Pro W5700,798.0
AMD Radeon Pro W5500,399.0
AMD Radeon Pro WX 3200,184.0
AMD Radeon Pro VII,1899.0
AMD FirePro 2270,98.0
AMD FirePro 2450,98.0
AMD FirePro 2460,129.0
AMD FirePro S7000,1218.0
AMD FirePro V3900,65.0
AMD FirePro V7900 SDI,209.0
AMD FirePro W2100,73.0
AMD FirePro W4100,149.0
AMD FirePro W9000,1026.0
AMD FirePro W9100,1350.0
AMD Radeon Pro WX 4100,249.0
AMD Radeon Pro WX 5100,334.0
AMD Radeon Pro WX 7100,460.0
ASRock Radeon RX 5500 XT,307.0
ASRock Radeon RX 5700 XT,578.0
ASRock Radeon RX 5600 XT,462.0
ASRock Radeon RX 580,277.0
ASRock Radeon RX 570,152.0
ASRock Radeon RX 5500 XT,362.0
ASRock Radeon RX 5600 XT,499.0
ASRock Radeon RX 5600 XT,494.0
ASRock Radeon RX 5700 XT,995.0
ASRock Radeon RX 5700 XT,777.0
ATI FireGL V7300,99.0
ATI FirePro 2450,98.0
ATI FirePro V5700,109.0
ATI FirePro 2450,98.0
ATI FirePro V3900,98.0
ATI FirePro 2270,169.0
ATI FirePro 2270,98.0
ATI FirePro 2450,98.0
ATI FirePro 2460,129.0
ATI FirePro RG220A,245.0
ATI FirePro S7000,269.0
ATI FirePro S9000,149.0
ATI FirePro S9150,799.0
ATI FirePro V3800,98.0
ATI FirePro V7900 SDI,209.0
ATI FirePro V8750,199.0
ATI FirePro V8800,146.0
ATI FirePro W5000,169.0
ATI FirePro W5000,169.0
ATI FirePro W600,352.0
ATI FirePro W7000,224.0
ATI FirePro W8000,389.0
Asus GeForce 210,120.0
Asus Radeon RX VEGA 64,1200.0
Asus GeForce GTX 1050 Ti,208.0
Asus GeForce GTX 1050 Ti,209.0
Asus GeForce GTX 1070 Ti,678.0
Asus GeForce GTX 1050,169.0
Asus GeForce RTX 2080,879.0
Asus Radeon RX 580,226.0
Asus GeForce GTX 1060 3GB,259.0
Asus Radeon RX 580,325.0
Asus GeForce RTX 2060 SUPER,467.0
Asus Radeon RX 5500 XT,472.0
Asus GeForce RTX 2080 SUPER,1399.0
Asus GeForce GTX 1660 SUPER,303.0
Asus GeForce RTX 2060,382.0
Asus GeForce RTX 2070 SUPER,999.0
Asus GeForce RTX 2060 SUPER,721.0
Asus GeForce RTX 2070,899.0
Asus GeForce RTX 2060,678.0
Asus GeForce RTX 2070,999.0
Asus GeForce GTX 1650,379.0
Asus GeForce RTX 3070,1299.0
Asus Radeon R9 270X,649.0
Asus GeForce GTX 770,624.0
Asus Radeon HD 5450,154.0
Asus Radeon HD 6850,329.0
Asus GeForce 8400 GS,99.0
Asus GeForce GTX 550 Ti,344.0
Asus GeForce GTX 560 Ti,462.0
Asus Radeon RX 570,502.0
Asus GeForce GTX 1080,1978.0
Asus GeForce GT 1030,79.0
Asus GeForce GT 630,59.0
Asus GeForce GT 640,218.0
Asus GeForce GT 710,85.0
Asus GeForce GT 730,287.0
Asus GeForce GTX 1050 Ti,199.0
Asus GeForce GTX 650,283.0
Asus GeForce GTX 650,293.0
Asus GeForce GTX 650 Ti,346.0
Asus GeForce GTX 650 Ti,366.0
Asus GeForce GTX 650 Ti,346.0
Asus GeForce GTX 660 Ti,691.0
Asus GeForce GTX 660 Ti,678.0
Asus GeForce GTX 660,539.0
Asus GeForce GTX 670,873.0
Asus GeForce GTX 670,863.0
Asus GeForce GTX 670,895.0
Asus GeForce GTX 670,890.0
Asus GeForce GTX 680,1097.0
Asus GeForce GTX 690,1499.0
Asus GeForce GTX 750 Ti,526.0
Asus GeForce GTX 750 Ti,349.0
Asus GeForce GTX 960,191.0
Asus GeForce GTX 970,1769.0
Asus GeForce GTX Titan,2060.0
Asus Radeon HD 7750,249.0
